t	Yt	Ft	St	Yt*	|Yt-Yt*|	Yt-Yt*	(Yt-Yt*)^2
---------------------------------------------------------------
1 	2.31 	2.31 	3.53 	 	  	  	  	 
2 	5.85 	5.85 	3.53 	5.85 	0.00 	0.00 	0.00 	
3 	7.87 	8.78 	3.11 	9.38 	1.51 	-1.51 	2.28 	
4 	6.75 	9.83 	1.67 	11.89 	5.14 	-5.14 	26.39 	
5 	1.78 	7.62 	-1.05 	11.51 	9.73 	-9.73 	94.65 	
6 	7.14 	6.80 	-0.89 	6.56 	0.58 	0.58 	0.33 	
7 	8.39 	6.90 	-0.20 	5.91 	2.48 	2.48 	6.15 	
8 	1.65 	4.68 	-1.61 	6.70 	5.05 	-5.05 	25.51 	
9 	8.87 	5.39 	0.01 	3.07 	5.80 	5.80 	33.63 	
10 	7.14 	6.10 	0.50 	5.41 	1.74 	1.74 	3.01 	
11 	4.57 	5.79 	-0.07 	6.60 	2.04 	-2.04 	4.15 	
12 	4.52 	5.24 	-0.41 	5.72 	1.20 	-1.20 	1.44 	
13 	6.24 	5.39 	-0.01 	4.83 	1.41 	1.41 	1.98 	
14 	6.63 	5.88 	0.34 	5.38 	1.25 	1.25 	1.56 	
15 	2.91 	4.90 	-0.59 	6.22 	3.31 	-3.31 	10.96 	
16 	4.30 	4.30 	-0.59 	4.31 	0.01 	-0.01 	0.00 	
17 	6.70 	4.91 	0.25 	3.71 	2.99 	2.99 	8.96 	
18 	3.12 	4.34 	-0.32 	5.15 	2.04 	-2.04 	4.15 	
19 	7.96 	5.59 	0.78 	4.02 	3.94 	3.94 	15.54 	
20 	1.21 	4.31 	-0.67 	6.37 	5.17 	-5.17 	26.70 	
21 	3.12 	3.43 	-0.81 	3.64 	0.52 	-0.52 	0.27 	
22 	2.54 	2.59 	-0.83 	2.62 	0.08 	-0.08 	0.01 	
23 	3.39 	2.41 	-0.37 	1.75 	1.64 	1.64 	2.69 	
24 	4.66 	3.09 	0.36 	2.03 	2.63 	2.63 	6.92 	
25 	0.80 	2.39 	-0.38 	3.45 	2.64 	-2.64 	6.99 	
26 	3.20 	2.49 	-0.05 	2.01 	1.19 	1.19 	1.41 	
27 	6.53 	4.08 	1.10 	2.44 	4.09 	4.09 	16.73 	
28 	1.10 	3.54 	-0.04 	5.18 	4.08 	-4.08 	16.66 	
29 	0.41 	2.26 	-0.91 	3.50 	3.10 	-3.10 	9.58 	
30 	8.44 	4.19 	1.08 	1.35 	7.09 	7.09 	50.30 	
31 	6.49 	5.76 	1.42 	5.26 	1.23 	1.23 	1.50 	
32 	0.64 	4.56 	-0.41 	7.17 	6.53 	-6.53 	42.63 	
33 	3.96 	4.08 	-0.46 	4.15 	0.19 	-0.19 	0.04 	
34 	9.70 	6.05 	1.24 	3.61 	6.08 	6.08 	36.99 	
35 	1.37 	4.92 	-0.42 	7.29 	5.91 	-5.91 	34.97 	
36 	6.90 	5.46 	0.26 	4.51 	2.40 	2.40 	5.74 	
37 	2.02 	4.24 	-0.78 	5.72 	3.70 	-3.70 	13.68 	
38 	6.37 	4.62 	0.03 	3.46 	2.91 	2.91 	8.45 	
39 	4.76 	4.70 	0.06 	4.66 	0.10 	0.10 	0.01 	
40 	8.66 	6.32 	1.15 	4.76 	3.90 	3.90 	15.19 	
41 	4.60 	6.33 	0.35 	7.48 	2.87 	-2.87 	8.26 	
42 	4.24 	5.70 	-0.33 	6.67 	2.44 	-2.44 	5.93 	
43 	6.84 	5.96 	0.08 	5.37 	1.47 	1.47 	2.16 	
44 	7.79 	6.74 	0.57 	6.04 	1.75 	1.75 	3.08 	
45 	3.80 	5.90 	-0.41 	7.31 	3.51 	-3.51 	12.31 	
46 	8.85 	6.84 	0.53 	5.49 	3.36 	3.36 	11.29 	
47 	0.46 	4.60 	-1.40 	7.36 	6.91 	-6.91 	47.69 	
48 	2.30 	2.84 	-1.66 	3.20 	0.90 	-0.90 	0.81 	
49 	0.89 	1.07 	-1.74 	1.18 	0.29 	-0.29 	0.09 	
50 	5.49 	1.79 	-0.01 	-0.67 	6.16 	6.16 	37.94 	
51 	7.46 	4.05 	1.58 	1.78 	5.69 	5.69 	32.33 	
52 	8.62 	6.83 	2.42 	5.63 	2.99 	2.99 	8.96 	
53 	5.70 	7.83 	1.43 	9.25 	3.54 	-3.54 	12.54 	
54 	2.28 	6.47 	-0.53 	9.25 	6.97 	-6.97 	48.61 	
55 	5.57 	5.79 	-0.63 	5.94 	0.37 	-0.37 	0.14 	
56 	2.21 	3.98 	-1.46 	5.16 	2.95 	-2.95 	8.70 	
57 	1.09 	1.95 	-1.86 	2.53 	1.43 	-1.43 	2.05 	
58 	8.07 	3.28 	0.37 	0.10 	7.97 	7.97 	63.52 	
59 	1.13 	2.65 	-0.33 	3.66 	2.53 	-2.53 	6.39 	
60 	0.49 	1.58 	-0.85 	2.31 	1.83 	-1.83 	3.35 	
61 	0.32 	0.57 	-0.96 	0.74 	0.41 	-0.41 	0.17 	
62 	1.45 	0.35 	-0.45 	-0.39 	1.84 	1.84 	3.38 	
63 	8.10 	3.18 	1.85 	-0.10 	8.20 	8.20 	67.23 	
64 	7.22 	5.91 	2.46 	5.03 	2.19 	2.19 	4.81 	
65 	0.17 	5.09 	0.17 	8.37 	8.20 	-8.20 	67.22 	
66 	2.76 	4.26 	-0.53 	5.26 	2.50 	-2.50 	6.23 	
67 	8.48 	5.63 	0.80 	3.73 	4.75 	4.75 	22.58 	
68 	2.42 	4.83 	-0.32 	6.43 	4.01 	-4.01 	16.06 	
69 	7.58 	5.73 	0.54 	4.51 	3.07 	3.07 	9.44 	
70 	5.38 	5.91 	0.29 	6.27 	0.90 	-0.90 	0.80 	
71 	4.62 	5.57 	-0.16 	6.20 	1.58 	-1.58 	2.50 	
72 	6.73 	5.94 	0.21 	5.41 	1.32 	1.32 	1.74 	
73 	2.63 	4.74 	-0.77 	6.15 	3.52 	-3.52 	12.42 	
74 	7.98 	5.57 	0.35 	3.97 	4.01 	4.01 	16.07 	
75 	8.58 	6.99 	1.09 	5.92 	2.66 	2.66 	7.10 	
76 	4.46 	6.63 	0.08 	8.08 	3.62 	-3.62 	13.08 	
77 	5.70 	6.31 	-0.20 	6.72 	1.01 	-1.01 	1.02 	
78 	4.38 	5.42 	-0.69 	6.11 	1.73 	-1.73 	2.99 	
